ASMA_id,domain,phylum,class,order,family,genus,species,strain_group,representative,scfm_n_reps,scfm_delta_od_mean,scfm_delta_od_sd,scfm_delta_od_max,scfm_last_assay_date,scfm_od_24h_mean,scfm_od_24h_sd,scfm_od_48h_mean,scfm_od_48h_sd,scfm_delta_od_24h_mean,scfm_delta_od_24h_sd,scfm_delta_od_48h_mean,scfm_delta_od_48h_sd,scfm_od_max_yield_mean,scfm_od_max_yield_sd,scfm_time_max_yield_mean,scfm_time_max_yield_sd,scfm_mu_simple_mean,scfm_mu_simple_sd,scfm_mu_simple_r2_mean,scfm_mu_simple_r2_sd,scfm_growth_class,scfm_growth_24h_n,scfm_growth_24h_pct,scfm_growth_48h_n,scfm_growth_48h_pct,scfm_mu_simple_n_reps,inhib_100x_n,inhib_100x_mean,inhib_100x_sd,inhib_last_assay_date,pa_inhibition_class,no_carbon_mean_od,no_carbon_sd_od,carbon_last_assay_date,glucose_mean_od,glucose_utilization_call,lactate_mean_od,lactate_utilization_call,serine_mean_od,serine_utilization_call,threonine_mean_od,threonine_utilization_call,alanine_mean_od,alanine_utilization_call,glycine_mean_od,glycine_utilization_call,proline_mean_od,proline_utilization_call,isoleucine_mean_od,isoleucine_utilization_call,leucine_mean_od,leucine_utilization_call,valine_mean_od,valine_utilization_call,aspartate_mean_od,aspartate_utilization_call,glutamate_mean_od,glutamate_utilization_call,phenylalanine_mean_od,phenylalanine_utilization_call,tryptophan__mean_od,tryptophan__utilization_call,lysine_mean_od,lysine_utilization_call,histidine_mean_od,histidine_utilization_call,arginine_mean_od,arginine_utilization_call,ornithine_mean_od,ornithine_utilization_call,cystein_mean_od,cystein_utilization_call,methionine_mean_od,methionine_utilization_call
AB_reporter,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,1.0,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASMA-1,Bacteria,Actinomycetota,Actinomycetes,Micrococcales,Micrococcaceae,Rothia,Rothia dentocariosa,518.0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASMA-10,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa,536.0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASMA-100,Fungi,Saccharomycetes,Ascomycota,Saccharomycetales,Debaryomycetaceae,Candida,Candida albicans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASMA-1000,Bacteria,Bacillota,Bacilli,Staphylococcales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,539.0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASMA-1001,Bacteria,Bacillota,Bacilli,Staphylococcales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,539.0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASMA-1002,Bacteria,Bacillota,Bacilli,Staphylococcales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,539.0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASMA-1003,Bacteria,Bacillota,Bacilli,Staphylococcales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,539.0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASMA-1004,Bacteria,Bacillota,Bacilli,Staphylococcales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,539.0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASMA-1005,Bacteria,Bacillota,Bacilli,Staphylococcales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,539.0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASMA-1006,Bacteria,Bacillota,Bacilli,Staphylococcales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,539.0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASMA-1007,Bacteria,Bacillota,Bacilli,Staphylococcales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,539.0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASMA-1008,Bacteria,Bacillota,Bacilli,Staphylococcales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,539.0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASMA-1009,Bacteria,Bacillota,Bacilli,Staphylococcales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,539.0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASMA-101,Fungi,Saccharomycetes,Ascomycota,Saccharomycetales,Debaryomycetaceae,Candida,Candida albicans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASMA-1010,Bacteria,Bacillota,Bacilli,Staphylococcales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,539.0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASMA-1011,Bacteria,Bacillota,Bacilli,Staphylococcales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,539.0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASMA-1012,Bacteria,Bacillota,Bacilli,Staphylococcales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,539.0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASMA-1013,Bacteria,Bacillota,Bacilli,Staphylococcales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,539.0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASMA-1014,Bacteria,Bacillota,Bacilli,Staphylococcales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,539.0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASMA-1015,Bacteria,Bacillota,Bacilli,Staphylococcales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,539.0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASMA-1016,Bacteria,Bacillota,Bacilli,Staphylococcales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,539.0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASMA-1017,Bacteria,Bacillota,Bacilli,Staphylococcales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,539.0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASMA-1018,Bacteria,Bacillota,Bacilli,Staphylococcales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,539.0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASMA-1019,Bacteria,Bacillota,Bacilli,Staphylococcales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,539.0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASMA-102,Fungi,Saccharomycetes,Ascomycota,Saccharomycetales,Debaryomycetaceae,Candida,Candida albicans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASMA-1020,Bacteria,Bacillota,Bacilli,Staphylococcales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,539.0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASMA-1021,Bacteria,Bacillota,Bacilli,Staphylococcales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,539.0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASMA-1022,Bacteria,Bacillota,Bacilli,Staphylococcales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,539.0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASMA-1023,Bacteria,Bacillota,Bacilli,Staphylococcales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,539.0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASMA-1024,Bacteria,Bacillota,Bacilli,Staphylococcales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,539.0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASMA-1025,Bacteria,Bacillota,Bacilli,Staphylococcales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,539.0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASMA-1026,Bacteria,Bacillota,Bacilli,Staphylococcales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,539.0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASMA-1027,Bacteria,Bacillota,Bacilli,Staphylococcales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,539.0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASMA-1028,Bacteria,Bacillota,Bacilli,Staphylococcales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,539.0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASMA-1029,Bacteria,Bacillota,Bacilli,Staphylococcales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,539.0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASMA-103,Fungi,Saccharomycetes,Ascomycota,Saccharomycetales,Debaryomycetaceae,Candida,Candida albicans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASMA-1030,Bacteria,Bacillota,Bacilli,Staphylococcales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,539.0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASMA-1031,Bacteria,Bacillota,Bacilli,Staphylococcales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,539.0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASMA-1032,Bacteria,Bacillota,Bacilli,Staphylococcales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,539.0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASMA-1033,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter,Achromobacter xylosoxidans,538.0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASMA-1034,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter,Achromobacter xylosoxidans,538.0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASMA-1035,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter,Achromobacter xylosoxidans,538.0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASMA-1036,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter,Achromobacter xylosoxidans,538.0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASMA-1037,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter,Achromobacter xylosoxidans,538.0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASMA-1038,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter,Achromobacter xylosoxidans,538.0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASMA-1039,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter,Achromobacter xylosoxidans,538.0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASMA-104,Fungi,Saccharomycetes,Ascomycota,Saccharomycetales,Debaryomycetaceae,Candida,Candida albicans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASMA-1040,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter,Achromobacter xylosoxidans,538.0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASMA-1041,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter,Achromobacter xylosoxidans,538.0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASMA-1042,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter,Achromobacter xylosoxidans,538.0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASMA-1043,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter,Achromobacter xylosoxidans,538.0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASMA-1044,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter,Achromobacter xylosoxidans,538.0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASMA-1045,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter,Achromobacter xylosoxidans,538.0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASMA-1046,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter,Achromobacter xylosoxidans,538.0,No,1,0.1938333333333333,,0.1938333333333333,20250929.0,0.0952,,0.0948,,0.00023333333333334927,,-0.0001666666666666622,,0.09583333333333333,,1.5,,0.0022507539336085606,,0.9872405593951438,,normal,0,0.0,0,0.0,1,,,,,,0.054,,20250929,0.0691,uncertain,0.1383,uncertain,0.055,uncertain,0.0502,uncertain,0.0545,uncertain,0.0532,uncertain,0.0556,uncertain,0.054,uncertain,0.0644,uncertain,0.0496,uncertain,0.0523,uncertain,0.0791,uncertain,0.1056,uncertain,0.0557,uncertain,0.0504,uncertain,0.0516,uncertain,0.0503,uncertain,0.052,uncertain,0.0534,uncertain,0.0521,uncertain
ASMA-1047,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter,Achromobacter xylosoxidans,538.0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASMA-1048,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter,Achromobacter xylosoxidans,538.0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASMA-1049,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter,Achromobacter xylosoxidans,538.0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASMA-105,Fungi,Saccharomycetes,Ascomycota,Saccharomycetales,Debaryomycetaceae,Candida,Candida albicans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASMA-1050,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter,Achromobacter xylosoxidans,538.0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASMA-1051,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter,Achromobacter xylosoxidans,538.0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASMA-1052,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter,Achromobacter xylosoxidans,538.0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASMA-1053,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter,Achromobacter xylosoxidans,538.0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASMA-1054,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter,Achromobacter xylosoxidans,538.0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASMA-1055,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter,Achromobacter xylosoxidans,538.0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASMA-1056,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter,Achromobacter xylosoxidans,538.0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASMA-1057,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter,Achromobacter xylosoxidans,537.0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASMA-1058,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,undetermined species,289.0,No,1,0.0016000000000000042,,0.0016000000000000042,20251006.0,0.1317,,0.1599,,0.02650000000000001,,0.054699999999999985,,0.1889,,40.25,,0.06232970411291135,,0.99039301085731,,no_growth,0,0.0,0,0.0,1,,,,,,0.0448,,20251006,0.0444,uncertain,0.0447,uncertain,0.0449,uncertain,0.0439,uncertain,0.0445,uncertain,0.0447,uncertain,0.0442,uncertain,0.0439,uncertain,0.045,uncertain,0.0439,uncertain,0.0441,uncertain,0.045,uncertain,0.0454,uncertain,0.0463,uncertain,0.0439,uncertain,0.0437,uncertain,0.0438,uncertain,0.0441,uncertain,0.0532,uncertain,0.0451,uncertain
ASMA-1059,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,undetermined species,289.0,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASMA-106,Fungi,Saccharomycetes,Ascomycota,Saccharomycetales,Debaryomycetaceae,Candida,Candida albicans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASMA-1060,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus sp030825805,290.0,Yes,1,0.0016333333333333477,,0.0016333333333333477,20250920.0,0.09446666666666666,,0.09376666666666666,,-0.0013333333333333391,,-0.0020333333333333314,,0.0958,,0.0,,0.0049234959460466,,0.964249343111198,,no_growth,0,0.0,0,0.0,1,,,,,,0.0438,,20250920,0.0457,uncertain,0.0433,uncertain,0.0442,uncertain,0.0434,uncertain,0.0428,uncertain,0.0436,uncertain,0.0435,uncertain,0.0433,uncertain,0.0431,uncertain,0.0429,uncertain,0.0438,uncertain,0.0434,uncertain,0.0435,uncertain,0.0441,uncertain,0.0428,uncertain,0.043,uncertain,0.043,uncertain,0.0428,uncertain,0.0444,uncertain,0.0427,uncertain
ASMA-1061,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,undetermined species,2.0,Yes,1,0.0021333333333333204,,0.0021333333333333204,20250920.0,0.1259333333333333,,0.1206666666666667,,0.01670000000000002,,0.011433333333333406,,0.1362,,7.0,,0.030385551679105605,,0.9799901771676149,,no_growth,0,0.0,0,0.0,1,,,,,,0.0428,,20250920,0.0443,uncertain,0.0433,uncertain,0.045,uncertain,0.0428,uncertain,0.0428,uncertain,0.0427,uncertain,0.0431,uncertain,0.0426,uncertain,0.0423,uncertain,0.0426,uncertain,0.0423,uncertain,0.0428,uncertain,0.0422,uncertain,0.0434,uncertain,0.0424,uncertain,0.0416,uncertain,0.042,uncertain,0.0418,uncertain,0.0432,uncertain,0.042,uncertain
ASMA-1062,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,undetermined species,289.0,No,1,0.0018666666666666692,,0.0018666666666666692,20250920.0,0.09466666666666666,,0.09500000000000001,,-0.001533333333333331,,-0.0011999999999999789,,0.0962,,0.0,,,,,,no_growth,0,0.0,0,0.0,0,,,,,,0.0436,,20250920,0.0435,uncertain,0.0435,uncertain,0.0436,uncertain,0.0431,uncertain,0.0431,uncertain,0.0435,uncertain,0.0429,uncertain,0.0433,uncertain,0.0428,uncertain,0.043,uncertain,0.0433,uncertain,0.043,uncertain,0.0434,uncertain,0.0433,uncertain,0.0429,uncertain,0.043,uncertain,0.0426,uncertain,0.0426,uncertain,0.0439,uncertain,0.0429,uncertain
ASMA-1063,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus salivarius,396.0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASMA-1064,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus salivarius,,,4,0.05516875,0.04331140330501888,0.104875,20251121.0,0.276625,0.09685091851225092,0.26781875,0.09873976186378346,0.15674375000000002,0.09252050758030171,0.1479375,0.09248232826690009,0.29956875,0.10500858571048688,20.375,18.498310733685926,0.18184295370578465,0.11652503808532727,0.9947321944248777,0.0036230650889597853,poor,3,75.0,3,75.0,4,1,32.20620135255838,,20251111,weak,0.04650000000000001,0.0004358898943540679,20251121,0.048666666666666664,utilizes,0.0458,no_growth,0.0451,no_growth,0.04576666666666667,no_growth,0.04533333333333334,no_growth,0.048100000000000004,utilizes,0.0467,no_growth,0.046966666666666664,no_growth,0.04703333333333334,no_growth,0.04676666666666667,no_growth,0.04623333333333333,no_growth,0.0463,no_growth,0.046933333333333334,no_growth,0.04843333333333333,utilizes,0.04543333333333333,no_growth,0.04566666666666667,no_growth,0.04613333333333333,no_growth,0.046033333333333336,no_growth,0.06083333333333334,utilizes,0.0466,no_growth
ASMA-1065,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus salivarius,348.0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASMA-1066,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus salivarius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASMA-1067,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus salivarius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
